draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated
42,0,savE® OM46,True,0.9593132756316444,1.056812208451886,0.33209777825901377,1.1498558711116806,-0.4644302460685048,0.2835638029509622,assam,0,savE® OM46,20.173563802950962,753.3038243174049,0.6061977603210509,,477.1177328715436,3.2396641173189808e-09,815.0270787101585,62.04204159706452,11.497729970572138,11.506332821058036,2.7140136233246104e-12,0.7547113574605886,68.63395219576634,68.23919440694283,42,0.0,124,8760
43,0,savE® OM46,True,1.061190985958925,1.0400601665114828,-0.11636056575808906,1.1785819242414837,-0.2140899427852455,1.5543350878425057,assam,0,savE® OM46,21.444335087842507,720.7469880219012,0.5959881647172482,,476.0349278832353,3.197212239547625e-09,785.8652428963162,65.40443753800147,11.498053036905961,11.506359094506573,3.370928218669426e-12,0.7547113574605886,68.57035289589255,68.25204340927982,36,0.0,117,8760
44,0,savE® OM46,True,0.9094858607014064,1.0418379215612417,1.0898894271409092,0.9315018198978338,0.02531340724245923,-0.6327168946474684,assam,0,savE® OM46,19.25728310535253,690.5523845834422,0.6559391058189064,,350.1571426386565,3.1484541496368176e-09,762.8135425305376,72.45662275794125,13.349623610475723,13.357105340504837,4.9487333736259896e-12,0.7547113574605886,74.85056905413612,74.79208314725808,5202,0.0,208,8760
45,0,savE® OM46,True,0.998691673400029,1.041048196926081,-0.4011115380910011,0.9393188132662729,0.2915519523439267,0.7068302916916451,assam,0,savE® OM46,20.596830291691646,647.9499788359401,0.6431585832067882,,347.15554270387804,3.0546072648479962e-09,728.5683581417302,80.78185451840088,13.527198820869772,13.534388608830328,3.999631363511528e-12,0.7547113574605886,74.01902108679255,73.98441695589216,4746,0.0,198,8760
46,0,savE® OM46,True,0.9739541133773242,0.962246737094013,0.48207201655436327,1.1859686994598226,0.13656944682320082,0.26703877874527215,assam,0,savE® OM46,20.157038778745274,680.9742631426911,0.535300248705991,,581.0835971077977,3.222735607021509e-09,740.2515581656469,59.5856527071027,11.14397032579899,11.152477829274094,2.4871561963220382e-12,0.7547113574605886,68.65720524396131,68.62349104479227,1287,0.0,139,8760
47,0,savE® OM46,True,0.9698325097191702,1.03596945848002,0.540883357766698,1.0333546515815895,0.33278130604399214,-1.9362879211315365,assam,0,savE® OM46,17.953712078868463,727.7434069419354,0.5998249894581248,,474.67528356649785,3.2157577273171142e-09,791.8654823231145,64.4477124784786,12.798796991261971,12.807461941785219,3.4290201644709343e-12,0.7547113574605886,71.81746254090118,71.78257818464121,3081,0.0,169,8760
48,0,savE® OM46,True,0.9208717902710662,1.0353426136591215,0.16216704927357872,0.9786657423273138,0.18405379346567718,0.6103489999200478,assam,0,savE® OM46,20.50034899992005,665.6412275708323,0.6327996081349452,,373.6689467241731,3.1000443317976624e-09,741.7407796177271,76.28924869427279,12.860550687995293,12.867979219550627,3.517885176604725e-12,0.7547113574605886,72.93930436080645,72.90354050360256,4297,0.0,195,8760
49,0,savE® OM46,True,0.9332191520395487,1.0171794109059018,0.26862276537473173,0.9203846574469229,0.1542422884479575,-1.2836836609889906,assam,0,savE® OM46,18.60631633901101,672.4712219647237,0.6348312965257656,,376.4891934334,3.1378691663429397e-09,743.7081421294513,71.5046194111536,12.406819905334794,12.414958062444848,2.0837754441182503e-12,0.7547113574605886,71.76346040030688,71.74076247674734,3597,0.0,178,8760
50,0,savE® OM46,True,0.9599522455612085,0.9352559644063057,0.5353658018064977,1.004250097128344,0.1351202155922263,0.23054756751868277,assam,0,savE® OM46,20.120547567518685,629.6313241854615,0.5821411821150206,,443.1001114136972,3.16167605003931e-09,693.4434951313212,64.05826960391174,10.908264300976553,10.916206046554045,2.903354721591636e-12,0.7547113574605886,69.3400430332658,69.30846092277667,1390,0.0,146,8760
51,0,savE® OM46,True,1.072735607426158,0.9770088297757755,-0.9019849919669536,0.9489319271823327,0.29983380933369597,0.524700199961905,assam,0,savE® OM46,20.414700199961906,611.7237503423752,0.6027387663533217,,393.3474527173162,3.057667083756112e-09,687.281401219425,75.77032125690677,12.077755452238295,12.085392332478438,5.7045935938360965e-12,0.7547113574605886,70.51585847980492,70.50079596035717,2452,0.0,157,8760
52,0,savE® OM46,True,1.0301762971797819,1.0533059000371836,1.0767836079755773,1.148720468801399,-0.0590558099278542,-1.6154233318853497,assam,0,savE® OM46,18.27457666811465,796.7871286457768,0.5990057857277266,,522.4763623604405,3.325376361597536e-09,849.6186056665908,53.23474505252009,11.742062767542887,11.751433887600992,8.418550777186838e-13,0.7547113574605886,68.65600163477559,68.03031454327267,42,0.0,110,8760
53,0,savE® OM46,True,0.9285740701174883,0.9328702738990579,0.49872920392368947,0.9776908857088185,0.011541691327369263,0.018028215291851613,assam,0,savE® OM46,19.908028215291854,626.210114141539,0.5893813134132222,,427.52808974676674,3.1577828658193957e-09,690.7106186248735,64.74377519724116,10.71701792080608,10.724934053225677,3.758612285492653e-12,0.7547113574605886,69.88902430837896,69.86316099101555,1526,0.0,148,8760
54,0,savE® OM46,True,1.0490263814396619,0.988191568397123,1.4273901344451883,0.9716771952843332,0.3665849378980176,-1.6931541997410173,assam,0,savE® OM46,18.196845800258984,696.617496629495,0.6160514029965848,,424.39532160982225,3.2166284074940014e-09,757.8210179648438,61.49199685380633,12.946500073108348,12.954827645725999,3.9850685017024585e-12,0.7547113574605886,71.68367673508254,71.6457993935084,2742,0.0,161,8760
55,0,savE® OM46,True,0.9612938283167207,0.969073277857434,-0.18639377710896432,1.1666947616380408,0.16026634833389708,1.7733101681727717,assam,0,savE® OM46,21.66331016817277,644.4003996491894,0.5458560116337107,,524.782880883889,3.1428196050638194e-09,712.1888324648894,68.02652153158026,11.294247746226585,11.30211624882017,6.304811825732739e-12,0.7547113574605886,69.34971736512992,69.31233995444023,1588,0.0,150,8760
56,0,savE® OM46,True,1.0301578523445494,1.0575382941178646,-0.7414131430510947,0.8132062277116585,-0.29464905167279576,-1.5081251169735679,assam,0,savE® OM46,18.381874883026434,673.8468330002245,0.705853239022076,,270.22891418091973,3.0841108845588614e-09,751.1441842103882,77.57190180550276,11.744767775101467,11.752967992494876,3.6149154363603865e-12,0.7547113574605886,70.32236104935502,69.98853667253537,1367,0.0,137,8760
57,0,savE® OM46,True,1.0722345532437376,1.047002848173609,0.935543517571547,0.9744235861585329,-0.4135759556258114,1.617609271676368,assam,0,savE® OM46,21.50760927167637,693.4248441836206,0.6838911564817932,,307.1151471427353,3.1346725262637614e-09,764.8053959993108,71.57048767430527,12.759368436543351,12.766800045182325,6.0788827024497854e-12,0.7547113574605886,69.6315033060114,69.16101033905545,1085,0.0,146,8760
58,0,savE® OM46,True,0.969818010963707,0.9524431369806902,-0.22251890566746835,0.9591989250377349,0.29834065938436805,1.9143933696292952,assam,0,savE® OM46,21.804393369629295,589.4007055992299,0.6070613625944742,,371.0468430889746,3.045552191007947e-09,664.5591381982605,75.31424264228042,11.58290139155082,11.59002231429778,6.736753494354992e-12,0.7547113574605886,71.01427611132723,70.98280691095377,2121,0.0,163,8760
59,0,savE® OM46,True,1.0206811960690807,1.0485088267191003,0.19658772909079714,0.8846521054576386,0.021265770560090047,-0.7381847916994491,assam,0,savE® OM46,19.15181520830055,667.9960583149112,0.6646933221375826,,325.41259321314595,3.09136240660422e-09,745.8702833259392,78.0672267582744,13.953276024963198,13.960734763455863,4.510638291759357e-12,0.7547113574605886,74.88158096719314,74.84962128358356,5391,0.0,200,8760
60,0,savE® OM46,True,1.0867756969663158,0.9775296857370105,-1.4526339534494457,0.8111373322680707,0.03491589900149006,-1.8805267900961606,assam,0,savE® OM46,18.009473209903838,602.2507472849104,0.633762346067155,,340.2971658531753,3.045415369837383e-09,679.5569071043511,77.5648388770982,11.843668494115072,11.851723313993494,3.742337814287199e-12,0.7547113574605886,70.5306496746328,70.4968131566449,2609,0.0,148,8760
61,0,savE® OM46,True,0.9522551005681309,1.0363161330467605,1.4574237843757523,1.1855680466794734,-0.4571247695644216,0.8668203287827496,assam,0,savE® OM46,20.75682032878275,758.0458883845344,0.6053343718002901,,481.4320052625843,3.27523762169212e-09,815.0387929978402,57.29590771284667,11.55262632555507,11.561085899883773,9.588293552433714e-13,0.7547113574605886,68.18863329332449,67.88222616069692,43,0.0,124,8760
62,0,savE® OM46,True,0.9094817297152503,0.9403354249067739,0.059531508791655696,0.9770647553411642,-0.36931323718794207,0.6636910366446265,assam,0,savE® OM46,20.553691036644626,636.9047708083992,0.6156026591303232,,389.67864494878165,3.173106836934166e-09,699.3187859972651,62.703216959556194,9.321074064231038,9.329407618774368,2.0076974185294646e-12,0.7547113574605886,64.18478084524149,63.88169464780494,0,0.0,102,8760
