point_id,cluster,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2
ASP_0067,2,0.9999893320873309,1.0667912660355625e-05,8.622532024998144e-15,0.9999893320873309
ASP_0068,2,1.0,2.20833742565929e-230,5.557345324486205e-31,1.0
ASP_0069,2,0.9999999585177077,7.735198910014912e-67,4.1482292050286216e-08,0.9999999585177077
ASP_0070,2,0.9999939426019794,6.057398018620129e-06,1.5608086338807504e-15,0.9999939426019794
ASP_0071,1,0.9464145723068598,6.426192842306546e-10,0.9464145723068598,0.05358542705052059
ASP_0072,2,0.9999990735022186,6.15217135186815e-29,9.264977810908511e-07,0.9999990735022186
ASP_0073,1,0.9947532554331002,0.004049629717010729,0.9947532554331002,0.0011971148498889084
ASP_0074,1,0.8395947806857821,5.310644587602356e-11,0.8395947806857821,0.16040521926111118
ASP_0075,1,0.9999999977314351,2.1910807726616705e-09,0.9999999977314351,7.748438213098323e-11
ASP_0076,2,0.9776888272794293,0.02216171080794534,0.00014946191262504456,0.9776888272794293
ASP_0077,2,1.0,2.146489315487745e-206,1.2842185325503566e-25,1.0
ASP_0078,2,0.9999999999999973,1.6245749326043186e-132,2.9372112198659402e-15,0.9999999999999973
ASP_0079,1,0.9999965451049193,1.940052098390095e-10,0.9999965451049193,3.4547010752736754e-06
ASP_0080,1,0.9999999380988146,8.893509704285974e-15,0.9999999380988146,6.190117651144767e-08
ASP_0081,2,0.9999999999470903,1.2821568800078345e-27,5.291008788602291e-11,0.9999999999470903
ASP_0082,1,0.9999986433585423,1.5978579513006098e-15,0.9999986433585423,1.3566414562682584e-06
ASP_0083,2,1.0,1.8549531295368672e-110,4.083808631012394e-26,1.0
ASP_0084,1,0.994606442097079,2.6869302453445702e-24,0.994606442097079,0.005393557902920871
ASP_0085,1,1.0,2.585987361561056e-67,1.0,3.1627917580495496e-31
ASP_0086,1,0.9999946166386199,1.5237753042734454e-14,0.9999946166386199,5.383361364653373e-06
ASP_0087,1,0.9985701813849894,1.4084701943540022e-06,0.9985701813849894,0.0014284101448163384
ASP_0088,0,0.9999999762634805,0.9999999762634805,2.3736519778790575e-08,1.0851916608246742e-40
ASP_0089,1,0.9676796915266777,0.0006702471234618188,0.9676796915266777,0.031650061349860335
ASP_0090,1,1.0,6.614323814125048e-25,1.0,3.703340920857857e-18
ASP_0091,1,0.9911165982106851,6.282275791988741e-08,0.9911165982106851,0.008883338966556931
ASP_0092,1,0.9956278749359676,9.95947234586933e-07,0.9956278749359676,0.004371129116797937
ASP_0093,1,0.9999999999982006,3.491883224620165e-22,0.9999999999982006,1.7990485699043023e-12
ASP_0094,1,0.9999590412614915,6.268946156612266e-19,0.9999590412614915,4.0958738508399775e-05
ASP_0095,0,1.0,1.0,2.4616680316859375e-21,1.1126324613496175e-22
ASP_0096,1,0.9999927160195485,6.51572936415716e-12,0.9999927160195485,7.283973935679234e-06
ASP_0097,1,1.0,3.8782553384651487e-31,1.0,2.203918492742995e-37
ASP_0098,1,0.999993499144832,6.476406123432273e-06,0.999993499144832,2.4449044778005132e-08
ASP_0099,1,1.0,5.167225843269258e-23,1.0,3.270806632231375e-16
ASP_0100,2,0.9999999362658205,5.95754802020553e-25,6.373417921021866e-08,0.9999999362658205
ASP_0101,1,0.9876128941228772,2.937855695518029e-06,0.9876128941228772,0.01238416802142707
ASP_0102,1,0.9995708092317889,0.00042177818713826234,0.9995708092317889,7.412581072432508e-06
ASP_0103,1,0.999999938496024,2.6598337277781e-08,0.999999938496024,3.49056383454671e-08
ASP_0104,1,0.997464677967983,0.002460694239501656,0.997464677967983,7.46277925154715e-05
ASP_0105,1,0.9508792074539781,5.148017823193843e-16,0.9508792074539781,0.04912079254602165
ASP_0106,1,0.9999665788032271,1.521980267254222e-10,0.9999665788032271,3.3421044575261604e-05
ASP_0107,0,0.502596411108977,0.502596411108977,0.009209634732012204,0.4881939541590106
ASP_0108,2,1.0,3.1838716623765166e-101,1.5862436610929646e-17,1.0
ASP_0109,1,0.9999999987589794,6.55173391175047e-23,0.9999999987589794,1.2410206872153617e-09
ASP_0110,2,0.9784943302228187,2.245461707177206e-13,0.021505669776956827,0.9784943302228187
ASP_0111,1,0.9772064156332998,6.191565535564887e-06,0.9772064156332998,0.022787392801164725
ASP_0112,2,0.5311586712160663,0.06626371702367768,0.4025776117602557,0.5311586712160663
ASP_0113,1,1.0,4.889220603728529e-28,1.0,5.346233896033682e-18
ASP_0114,1,0.9878064811253153,1.9896539420261233e-07,0.9878064811253153,0.012193319909290344
ASP_0115,2,0.9999999876299395,2.1909501813757334e-15,1.2370058238834928e-08,0.9999999876299395
ASP_0116,2,0.997796142003438,9.287670828650509e-40,0.0022038579965616163,0.997796142003438
ASP_0117,2,0.9999999999999787,1.9073985891095647e-28,2.138970393248704e-14,0.9999999999999787
ASP_0118,2,1.0,1.8286873415140705e-177,9.642087080751408e-35,1.0
ASP_0119,0,1.0,1.0,8.056830503097472e-21,8.153338063237967e-17
ASP_0120,1,0.9999999936529687,6.07592228724716e-19,0.9999999936529687,6.347031546358199e-09
ASP_0121,1,0.9930431740449753,4.4231532461881133e-10,0.9930431740449753,0.006956825512709731
ASP_0122,1,0.9870177186204575,1.4532355974252634e-08,0.9870177186204575,0.012982266847186641
ASP_0123,1,0.9999999240803501,1.6525778406256148e-26,0.9999999240803501,7.591965011310617e-08
ASP_0124,1,0.9999999879324539,7.601573960685914e-14,0.9999999879324539,1.2067470297525114e-08
ASP_0125,0,0.9999999999216627,0.9999999999216627,7.833738660068257e-11,2.3611028077218874e-79
ASP_0126,0,0.9998474368335281,0.9998474368335281,1.879480458738124e-17,0.00015256316647227784
ASP_0127,2,1.0,2.0519211443910692e-63,1.2672825063760455e-16,1.0
ASP_0128,1,0.9999999779061188,1.5918844776546192e-08,0.9999999779061188,6.175036263898768e-09
ASP_0129,0,0.9999999999983764,0.9999999999983764,1.62590648020499e-25,1.6232515357429145e-12
