point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2021-03-05,24,6120.740000000001,6257.72,0.9781102382337338,16.23,35.02,24.621666666666663,14.626666666666663,4.307083333333334
RJP_0055,2021-03-06,24,6087.530000000001,6318.18,0.9634942340990602,16.85,37.13,27.42875,17.81625,3.12875
RJP_0055,2021-03-07,24,5888.06,6155.2,0.956599298154406,17.85,38.06,27.44333333333333,21.6425,3.6791666666666663
RJP_0055,2021-03-08,24,5707.26,6176.959999999999,0.9239593586489148,19.36,37.67,28.140416666666667,25.18541666666667,3.553333333333333
RJP_0055,2021-03-09,24,6044.91,6404.02,0.9439242850584476,18.82,36.53,27.137083333333333,23.555416666666662,2.9970833333333338
RJP_0055,2021-03-10,24,5938.16,6247.18,0.9505344811578984,18.55,35.77,26.594166666666663,26.792916666666667,3.282916666666667
RJP_0055,2021-03-11,24,5931.42,6070.02,0.9771664673263022,18.0,36.76,27.710416666666664,24.017083333333336,3.807916666666667
RJP_0055,2021-03-12,24,3226.28,5381.67,0.5994942090466342,18.25,35.21,26.69541666666667,38.31916666666667,2.9145833333333333
RJP_0055,2021-03-13,24,6021.6,6195.47,0.9719359467481886,17.83,33.68,26.08,39.455416666666665,2.99625
RJP_0055,2021-03-14,24,6021.73,6446.46,0.9341142270331312,19.07,35.66,26.98333333333333,29.911666666666665,2.027083333333333
RJP_0055,2021-03-15,24,5854.03,6223.65,0.94061041350333,19.22,35.51,26.957083333333333,26.874166666666667,2.93375
RJP_0055,2021-03-16,24,5347.52,5799.630000000001,0.9220450270103436,20.44,36.66,28.15833333333333,22.262916666666666,2.46875
RJP_0055,2021-03-17,24,4653.09,5658.530000000001,0.8223142759692004,20.61,37.15,29.2625,21.56083333333333,2.21625
RJP_0055,2021-03-18,24,4238.24,5209.98,0.8134848886176147,22.05,37.67,29.605416666666667,25.68375,3.79
RJP_0055,2021-03-19,24,5424.490000000001,5629.52,0.963579488126874,21.45,36.37,28.86791666666667,26.510416666666668,3.1474999999999995
RJP_0055,2021-03-20,24,6189.35,6294.1900000000005,0.9833433690435148,20.0,36.87,28.110833333333336,21.3625,2.440416666666667
RJP_0055,2021-03-21,24,6421.3,6557.719999999999,0.979197037994913,19.38,37.94,28.992500000000003,19.63458333333333,3.054583333333333
RJP_0055,2021-03-22,24,5559.18,6160.92,0.9023295222142148,22.44,36.88,29.611666666666665,25.436666666666667,1.9183333333333328
RJP_0055,2021-03-23,24,5592.379999999999,6472.469999999999,0.8640256347267735,20.69,36.95,28.541666666666668,25.757916666666663,2.7329166666666667
RJP_0055,2021-03-24,24,6333.82,6523.63,0.9709042358318912,17.58,34.94,26.46208333333333,24.93625,3.367083333333333
RJP_0055,2021-03-25,24,6528.429999999999,7023.66,0.9294911769647164,16.68,34.33,25.19125,23.473749999999995,3.109166666666667
