point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4,prob_cluster5,prob_cluster6,prob_cluster7
RJP_0075,Retreat,4,1.0,8,0.8128013668447922,50,3.782581417867131e-18,0.0,0.0,0.0,1.0,0.0,0.0,3.59803e-319
RJP_0076,Winter,2,0.999999999973662,8,0.8128013668447922,50,0.0,0.0,0.999999999973662,0.0,0.0,0.0,0.0,2.633800740601276e-11
RJP_0076,Summer,3,1.0,8,0.8128013668447922,50,3.368614746542471e-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0076,Monsoon,6,0.9999999999999858,8,0.8128013668447922,50,1.0916088564272977e-186,1.3952151895471135e-21,0.0,0.0,0.0,1.2602425459710575e-14,0.9999999999999858,0.0
RJP_0076,Retreat,4,1.0,8,0.8128013668447922,50,3.2382981698942873e-25,0.0,0.0,0.0,1.0,0.0,0.0,3.265305879511855e-283
RJP_0077,Winter,7,0.9999999999986775,8,0.8128013668447922,50,2.41631240652167e-296,0.0,1.322643267616276e-12,0.0,3.755935945661574e-303,0.0,0.0,0.9999999999986775
RJP_0077,Summer,3,1.0,8,0.8128013668447922,50,4.6159153870272244e-58,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0077,Monsoon,6,0.9999999999414744,8,0.8128013668447922,50,9.246464678189038e-205,5.85081889272519e-11,0.0,0.0,0.0,1.830260756622256e-14,0.9999999999414744,0.0
RJP_0077,Retreat,4,1.0,8,0.8128013668447922,50,4.5830392041493655e-23,0.0,0.0,0.0,1.0,0.0,0.0,1.5258838848045187e-282
RJP_0078,Winter,7,0.9999999999999991,8,0.8128013668447922,50,1.298349095e-314,0.0,1.3254154246933072e-15,0.0,6.477228281346754e-308,0.0,0.0,0.9999999999999991
RJP_0078,Summer,3,0.9999999999993214,8,0.8128013668447922,50,6.787836486508217e-13,0.0,0.0,0.9999999999993214,0.0,0.0,0.0,0.0
RJP_0078,Monsoon,1,1.0,8,0.8128013668447922,50,3.316006063221953e-176,1.0,0.0,0.0,0.0,1.0209865183915943e-75,2.893383338349138e-61,0.0
RJP_0078,Retreat,4,1.0,8,0.8128013668447922,50,2.9617136280217455e-51,0.0,1e-323,0.0,1.0,0.0,0.0,6.502352969045781e-236
RJP_0079,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.147181844411184e-21
RJP_0079,Summer,3,0.9999999999998774,8,0.8128013668447922,50,1.22636210931249e-13,0.0,0.0,0.9999999999998774,0.0,0.0,0.0,0.0
RJP_0079,Monsoon,6,1.0,8,0.8128013668447922,50,5.010620140119607e-171,5.639380818131685e-19,0.0,0.0,0.0,6.353482993259732e-17,1.0,0.0
RJP_0079,Retreat,4,1.0,8,0.8128013668447922,50,2.9230113940979787e-31,0.0,0.0,0.0,1.0,0.0,0.0,4.756172012264201e-287
RJP_0080,Winter,2,0.9999999999901039,8,0.8128013668447922,50,0.0,0.0,0.9999999999901039,0.0,0.0,0.0,0.0,9.895948087216531e-12
RJP_0080,Summer,3,1.0,8,0.8128013668447922,50,9.047753283133405e-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0080,Monsoon,6,0.9999999999988134,8,0.8128013668447922,50,1.2288849262159088e-200,1.3648361407747525e-21,0.0,0.0,0.0,1.1873070258333742e-12,0.9999999999988134,0.0
RJP_0080,Retreat,4,1.0,8,0.8128013668447922,50,5.549948889834902e-22,0.0,0.0,0.0,1.0,0.0,0.0,1.3052058967839424e-300
RJP_0081,Winter,7,0.9999999999176383,8,0.8128013668447922,50,0.0,0.0,8.236171400312492e-11,0.0,3.503e-321,0.0,0.0,0.9999999999176383
RJP_0081,Summer,3,1.0,8,0.8128013668447922,50,2.0678882541125934e-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0081,Monsoon,1,1.0,8,0.8128013668447922,50,3.302267581216642e-179,1.0,0.0,0.0,0.0,8.017214844143997e-43,4.111677729065886e-23,0.0
RJP_0081,Retreat,4,1.0,8,0.8128013668447922,50,1.1407632171006882e-40,0.0,1.4e-322,0.0,1.0,0.0,0.0,5.071106788667946e-241
RJP_0082,Winter,2,0.9999965577583046,8,0.8128013668447922,50,0.0,0.0,0.9999965577583046,0.0,0.0,0.0,0.0,3.4422416953870665e-06
RJP_0082,Summer,3,1.0,8,0.8128013668447922,50,8.808594619206941e-38,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0082,Monsoon,6,0.8758864604499297,8,0.8128013668447922,50,7.685081505099435e-164,1.4581563993892338e-32,0.0,0.0,0.0,0.12411353955007025,0.8758864604499297,0.0
RJP_0082,Retreat,0,0.9999997841403929,8,0.8128013668447922,50,0.9999997841403929,0.0,0.0,0.0,2.1585960711088702e-07,0.0,0.0,2.9372698908698653e-308
RJP_0083,Winter,2,0.9999999995437383,8,0.8128013668447922,50,0.0,0.0,0.9999999995437383,0.0,0.0,0.0,0.0,4.5626192275229253e-10
RJP_0083,Summer,3,1.0,8,0.8128013668447922,50,3.2708121712658156e-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0083,Monsoon,6,0.9999999999999751,8,0.8128013668447922,50,3.08656348791621e-185,3.7581581065188756e-22,0.0,0.0,0.0,2.654531505970832e-14,0.9999999999999751,0.0
RJP_0083,Retreat,4,1.0,8,0.8128013668447922,50,3.298627798048114e-24,0.0,0.0,0.0,1.0,0.0,0.0,4.810866473567874e-280
RJP_0084,Winter,2,0.9999990345770293,8,0.8128013668447922,50,0.0,0.0,0.9999990345770293,0.0,0.0,0.0,0.0,9.654229709121679e-07
RJP_0084,Summer,3,1.0,8,0.8128013668447922,50,8.099666484462236e-41,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0084,Monsoon,6,0.9998880613589479,8,0.8128013668447922,50,2.2117244803899895e-165,4.263910376219878e-30,0.0,0.0,0.0,0.00011193864105186006,0.9998880613589479,0.0
RJP_0084,Retreat,0,0.9999999613770666,8,0.8128013668447922,50,0.9999999613770666,0.0,0.0,0.0,3.862293341723224e-08,0.0,0.0,2.2807738484385427e-307
RJP_0085,Winter,2,0.9999999999691562,8,0.8128013668447922,50,0.0,0.0,0.9999999999691562,0.0,0.0,0.0,0.0,3.084397320116481e-11
RJP_0085,Summer,3,1.0,8,0.8128013668447922,50,5.674891267199698e-35,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0085,Monsoon,5,0.5436866889366808,8,0.8128013668447922,50,6.704382950515983e-160,3.845323072385371e-34,0.0,0.0,0.0,0.5436866889366808,0.4563133110633193,0.0
RJP_0085,Retreat,0,0.999999554687338,8,0.8128013668447922,50,0.999999554687338,0.0,0.0,0.0,4.4531266196013305e-07,0.0,0.0,1.13008035301651e-309
RJP_0086,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.3661483053929855e-19
RJP_0086,Summer,3,1.0,8,0.8128013668447922,50,9.871039827165385e-35,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0086,Monsoon,6,0.9999994682817387,8,0.8128013668447922,50,3.775993298497671e-205,1.3340599483573145e-27,0.0,0.0,0.0,5.317182611698615e-07,0.9999994682817387,0.0
RJP_0086,Retreat,4,1.0,8,0.8128013668447922,50,3.959755364123537e-21,0.0,0.0,0.0,1.0,0.0,0.0,2.4570410151676e-311
RJP_0087,Winter,2,0.9999999999988187,8,0.8128013668447922,50,0.0,0.0,0.9999999999988187,0.0,0.0,0.0,0.0,1.1814929717261978e-12
RJP_0087,Summer,3,1.0,8,0.8128013668447922,50,1.461122451566836e-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0087,Monsoon,6,0.9999999999997549,8,0.8128013668447922,50,3.4664608894714984e-170,9.985577589111131e-24,0.0,0.0,0.0,2.451308908487091e-13,0.9999999999997549,0.0
RJP_0087,Retreat,4,1.0,8,0.8128013668447922,50,1.7774371438739852e-19,0.0,0.0,0.0,1.0,0.0,0.0,7.246836397113492e-277
RJP_0088,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0762606411997268e-25
