point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id
RJP_0083,2023-11-27,24,2073.19,3313.16,0.6257440027043669,12.55,23.03,16.551666666666666,69.64666666666666,2.5812500000000003,2
RJP_0083,2023-11-28,24,1995.13,3306.4,0.6034145898862812,12.27,23.92,18.105,73.53375,1.8983333333333328,2
RJP_0083,2023-11-29,24,3270.96,3742.18,0.8740787455440411,13.66,25.53,18.95416666666667,63.51041666666666,1.9554166666666664,2
RJP_0083,2023-11-30,24,3345.47,3653.51,0.9156865589528972,13.13,26.61,19.07375,69.27,1.7066666666666663,2
RJP_0083,2023-12-01,24,3071.16,3277.82,0.9369519985844248,12.88,26.62,19.160833333333333,68.90249999999999,2.62,2
RJP_0083,2023-12-02,24,2808.7900000000004,3014.25,0.9318371070747286,13.06,25.38,19.00125,64.8825,2.4445833333333336,2
RJP_0083,2023-12-03,24,1268.41,2784.5200000000004,0.4555219571057129,14.85,23.0,18.46125,77.83958333333334,3.554166666666667,2
RJP_0083,2023-12-04,24,2404.3500000000004,3502.56,0.6864550500205565,10.12,24.29,16.95375,69.69,2.3937500000000003,2
RJP_0083,2023-12-05,24,3759.87,3908.59,0.9619504731885412,9.26,24.27,16.683333333333334,46.05791666666666,2.0795833333333333,2
RJP_0083,2023-12-06,24,3790.91,3791.57,0.999825929628096,9.7,24.66,17.238333333333333,54.68208333333334,2.37125,2
RJP_0083,2023-12-07,24,3496.79,3503.7,0.99802779918372,11.05,25.58,18.257916666666667,53.685,1.731666666666667,2
RJP_0083,2023-12-08,24,3099.56,3110.05,0.9966270638735713,14.57,25.94,19.5025,52.43625,1.1525,2
RJP_0083,2023-12-09,24,3596.62,3605.5,0.9975370961031756,11.98,26.18,19.006666666666664,41.79666666666667,1.26,2
RJP_0083,2023-12-10,24,4125.85,4128.75,0.999297608234938,11.94,26.47,18.30125,33.748333333333335,1.414583333333333,2
