case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,split
c0_RT45HC_bnd_staggered_dmin_fmax,0,RT45HC,staggered,boundary,0,0.02,22,0.05,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_bnd_staggered_dmax_fmin,0,RT45HC,staggered,boundary,0,0.08,22,0.01,sim_v2_rajasthan,7.817595958709717,True,,0.04,0.11795633216678478,0.5419076836902142,0.000591646517371096,9.860775289518268e-09,15.568030585685188,0.06309152566226389,False,rajasthan,0.0,RT45HC,25.092,1583.5567307113724,0.556803582537748,,1123.400765924536,3.7519839111058565e-08,1660.3969191275653,77.14706933913783,97.10789359557141,97.14820356904066,0.0005899889834083779,5.190078615338531,69.28872746027507,62.47925373044927,0.0,0.0,161.0,8760.0,0.0,2850.0,train
c0_RT45HC_bnd_staggered_dmax_fmax,0,RT45HC,staggered,boundary,0,0.08,22,0.05,sim_v2_rajasthan,7.5357825756073,True,,0.04,0.11795633216678478,0.5419076836902142,0.006317799485241302,5.264832904367752e-07,77.84015292842594,0.06309152566226389,False,rajasthan,0.0,RT45HC,25.092,1585.2936406266501,0.5582893727209135,,1119.6346302699908,2.006691061501846e-06,1662.0553309440068,77.06888000509839,99.07458221708366,99.11491381325833,0.0006006173734565113,5.190078615338531,69.38536761661663,62.210421386280245,0.0,0.0,166.0,8760.0,0.0,5945.0,train
c0_RT45HC_bnd_radial_dmin_fmin,0,RT45HC,radial,boundary,0,0.02,22,0.01,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_bnd_radial_dmin_fmax,0,RT45HC,radial,boundary,0,0.02,22,0.05,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_bnd_radial_dmax_fmin,0,RT45HC,radial,boundary,0,0.08,22,0.01,sim_v2_rajasthan,7.414142370223999,True,,0.04,0.11795633216678478,0.7748026818900952,0.00012656760018508084,2.1094600030846813e-09,15.568030585685188,0.18349601162052018,False,rajasthan,0.0,RT45HC,25.092,1583.5567307113724,0.556803582537748,,1123.400765924536,8.026407417561269e-09,1660.3969191275653,77.14706933913783,97.10789359557141,97.14820356904066,0.0005899889834083779,5.190078615338531,69.28872746027507,62.47925373044927,0.0,0.0,161.0,8760.0,0.0,2850.0,holdout
c0_RT45HC_bnd_radial_dmax_fmax,0,RT45HC,radial,boundary,0,0.08,22,0.05,sim_v2_rajasthan,6.257851839065552,True,,0.04,0.11795633216678478,0.7748026818900952,0.0017629619459263797,1.4691349549386498e-07,77.84015292842594,0.18349601162052018,False,rajasthan,0.0,RT45HC,25.092,1585.2936406266501,0.5582893727209135,,1119.6346302699908,5.599607880747587e-07,1662.0553309440068,77.06888000509839,99.07458221708366,99.11491381325833,0.0006006173734565113,5.190078615338531,69.38536761661663,62.210421386280245,0.0,0.0,166.0,8760.0,0.0,5945.0,train
c0_Lauric_acid__C12__lhs_singlelayer_000,0,Lauric acid (C12),single-layer,lhs,20261231,0.04085921450201184,32,0.02783887137941142,sim_v2_rajasthan,7.380390644073486,True,,0.02042960725100592,0.022858547792974377,0.6695907207780136,0.0005869274636436411,2.723233028236583e-08,22.135295646468773,0.05520214394552841,True,rajasthan,0.0,Lauric acid (C12),25.092,1587.534517204068,0.551938520301291,,1135.7325773457594,1.0386543149061211e-07,1664.835092401709,77.59669111588852,20.256535471821273,20.264912309984226,0.0003899315893544739,1.0972102940627702,68.80251584786009,62.09936537967598,0.0,0.0,221.0,8760.0,0.0,12230.0,train
c0_Lauric_acid__C12__lhs_singlelayer_001,0,Lauric acid (C12),single-layer,lhs,20261231,0.06183486390376439,19,0.034406027797114325,sim_v2_rajasthan,6.245804071426392,True,,0.030917431951882193,0.04704163920735746,0.7602690316531534,0.0005698760474232094,3.2678618547587645e-08,41.40107655957243,0.13073302523714284,True,rajasthan,0.0,Lauric acid (C12),25.092,1586.105227904995,0.5529328429829212,,1133.2121985292615,1.2460629574042984e-07,1663.3408074610159,77.53339759134406,38.241512900977725,38.25873801711151,0.0003792047134081145,2.257998681953158,68.94038229720837,62.19002176492177,0.0,0.0,196.0,8760.0,0.0,6067.0,train
c0_Lauric_acid__C12__lhs_singlelayer_002,0,Lauric acid (C12),single-layer,lhs,20261231,0.0757695057914059,9,0.018779015608609652,sim_v2_rajasthan,6.066266059875488,True,,0.03788475289570295,0.040997227803192024,0.6504825305329576,0.0002725848695255971,8.531459199153355e-09,27.68923560261048,0.09400911097916334,True,rajasthan,0.0,Lauric acid (C12),25.092,1584.9891372049217,0.5515809968810936,,1136.6388168103865,3.250426708626697e-08,1662.2856272893707,77.59310664089836,31.79713978543829,31.81212587387527,0.00036061967563214383,1.9678669345532172,68.84100084499839,62.37187172568781,0.0,0.0,184.0,8760.0,0.0,2911.0,train
