draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,mean_f_melt,min_f_melt,max_f_melt
60,1,savE® OM49,True,0.9672439793035377,1.0204859395947792,0.11603457831944919,0.8540782686525885,0.41537622882049974,-0.9038560817708339,rajasthan,1,savE® OM49,radial,25.08014391822917,1767.1825278366014,0.6681141047115162,4115,720.8945252170482,1.4231488470911845e-07,1861.398316864324,94.46548754384865,20.949544486672536,20.9569654137803,3.117508395069081e-05,0.738388917025206,72.18120838280085,62.14241294963135,0,0.0,350,8784,12922,89328,0.3820232249421309,0.0,1.0
61,1,savE® OM49,True,0.9120089227595523,1.0222476014715056,0.15721944212258077,1.154298492035638,-0.48551172625441485,0.06223845783237136,rajasthan,1,savE® OM49,radial,26.046238457832374,1932.3519027078025,0.5798828534238538,3720,1173.4997764677826,1.5594284234783682e-07,2010.9687074351514,78.88885497304537,16.948992297120537,16.956378837716443,0.001368746340174593,0.738388917025206,72.06780113612744,62.10403797009817,0,0.0,236,8784,143,29513,0.29601333048749146,0.0,1.0
62,1,savE® OM49,True,1.0680807412540072,0.9435903659371938,1.1247138352758341,1.0163232942630496,-0.36726470384530185,-0.3096568018608483,rajasthan,1,savE® OM49,radial,25.674343198139155,1787.0540128424436,0.6007961171754885,3718,1001.059664235941,1.5595864274942534e-07,1860.2695010631783,73.47443014054012,17.8459713660433,17.85342693573066,0.000280450673332607,0.738388917025206,72.07186425005867,62.10315785752505,0,0.0,232,8784,60,27322,0.2934771915961556,0.0,1.0
63,1,savE® OM49,True,0.9837735188776284,0.9396294579508241,0.21869354075061365,1.0475972080732032,0.2573482408011738,-0.8274263336145071,rajasthan,1,savE® OM49,radial,25.156573666385494,1734.476120604816,0.5803662494037233,3580,1113.731414024601,1.4873240697305986e-07,1812.3685943061935,78.21528467600169,19.9497676887467,19.957451969114157,0.0021271010645089908,0.738388917025206,72.14261762702475,62.17048589502209,0,0.0,308,8784,3841,60051,0.2932151803306921,0.0,1.0
64,1,savE® OM49,True,0.923757043362231,0.9812478578907635,-0.9849060379998482,1.0647081276419572,-0.44373737649738954,-0.0801094865318861,rajasthan,1,savE® OM49,radial,25.903890513468117,1811.12998565436,0.588386509192244,3646,1068.47441974069,1.5410999576380868e-07,1895.0030733980166,84.13916474752982,16.257058515912654,16.26447625112458,0.0009171156791547611,0.738388917025206,72.00977663617311,62.112635330404736,0,0.0,231,8784,23,25735,0.2899903340568677,0.0,1.0
65,1,savE® OM49,True,0.966475773636408,1.0665704865891925,0.15216857730021616,0.90315883600516,-0.4319041283051426,-1.5531511822560202,rajasthan,1,savE® OM49,radial,24.430848817743982,1961.110059941867,0.6533063944842572,4347,822.290741290204,1.5364844600478156e-07,2050.7352961199035,89.92821566595669,18.643423324753485,18.651244710532975,1.907534481979576e-05,0.738388917025206,72.11948280258643,62.119744396289846,0,0.0,276,8784,1517,64041,0.3733967040083602,0.0,1.0
66,1,savE® OM49,True,1.0554546025214921,0.9959689117171208,1.0569312100166286,1.1878978171169554,0.2675411558374552,1.41990532511173,rajasthan,1,savE® OM49,radial,27.403905325111733,1828.4461827374337,0.583473244030816,3881,1111.5713422271065,1.4761336022133275e-07,1910.5016410380981,82.33283878264271,21.820863566350678,21.827705169790303,0.005528318419026068,0.738388917025206,72.16358263017898,62.16806435523499,0,0.0,334,8784,6289,68906,0.3262335811787053,0.0,1.0
67,1,savE® OM49,True,0.993970374321579,1.0139705796073037,1.132354424346485,0.9098983091286507,-0.06992342294498977,-0.9657475461012752,rajasthan,1,savE® OM49,radial,25.018252453898725,1884.605675363358,0.6478090201026525,4259,817.5298483832894,1.5454395045525473e-07,1967.5909606668868,83.25611418217355,18.3790494863967,18.386629280074974,2.6216188417313508e-05,0.738388917025206,72.1091645896187,62.11119376899818,0,0.0,266,8784,968,55281,0.35857127184212445,0.0,1.0
68,1,savE® OM49,True,1.0319635638465396,1.065616982597188,-0.5926157300421808,1.194011875527373,0.0010485883025348475,-0.9558289985577009,rajasthan,1,savE® OM49,radial,25.028171001442303,1961.8414826896246,0.5666022914751225,3683,1319.5084000433224,1.4836020737232397e-07,2045.6674109683147,84.21095022879659,21.566198177465743,21.574033822209206,0.003937165161581211,0.738388917025206,72.16152114757665,62.18041212759633,0,0.0,332,8784,6717,68630,0.3103031917236869,0.0,1.0
69,1,savE® OM49,True,1.0989412243018544,0.9427584621554634,0.20061090258657344,1.1967659086241194,0.4498200647543791,0.8095221936804426,rajasthan,1,savE® OM49,radial,26.793522193680445,1743.365017434923,0.5557927831334156,3552,1235.7192688297253,1.4847659624596077e-07,1822.544668105836,79.51920939096934,21.311097890475526,21.318215288330318,0.007186733359780149,0.738388917025206,72.1493857194675,62.15337539910399,0,0.0,302,8784,2976,56746,0.28074425874185444,0.0,1.0
