case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c1_PureTemp_53_lhs_001,1,PureTemp 53,lhs,20262142,0.02551719972678518,31,0.013181271234440602,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c1_PureTemp_53_lhs_002,1,PureTemp 53,lhs,20262142,0.0458896362495229,15,0.03657270853501118,sim_v1_uttarakhand,2.1539111137390137,True,,0.02294481812476145,0.015179718667872218,0.9848202813321277,6.622670753570032e-06,4.036816786560994e-10,32.65994351457199,1.9847993879330936,True,uttarakhand,1.0,PureTemp 53,7.45,1525.5468510319502,0.28044467681106866,,3908.9743273826434,1.576545155854979e-09,1598.7233444265037,74.5414491232956,5.307259152800212,5.325452818998985,0.0027467859483437415,0.698267058722122,58.09045186813621,53.033184210813566,0.0,0.0,0.0,8784.0,train
c1_PureTemp_53_lhs_003,1,PureTemp 53,lhs,20262142,0.07200707120569312,19,0.02550298017289559,sim_v1_uttarakhand,1.7537455558776855,True,,0.03600353560284656,0.07428611728746454,0.9257138827125355,4.2042141262985184e-05,1.7869998250933114e-09,35.73631514358296,0.5982090858298991,True,uttarakhand,1.0,PureTemp 53,7.45,1519.0166678535616,0.27913125743122136,,3916.1094599728053,6.979127816905106e-09,1592.526177813014,74.87331136486276,25.782646170033917,25.87167043143166,0.003111419486026489,3.4171613952233693,58.92153037452218,52.50438338018749,0.0,0.0,0.0,8784.0,train
c1_PureTemp_53_lhs_004,1,PureTemp 53,lhs,20262142,0.05827947677093491,17,0.02056048476873075,sim_v1_uttarakhand,1.5692496299743652,True,,0.029139738385467455,0.03523907268961214,0.9647609273103879,5.541011119832706e-06,1.8987645788781345e-10,23.31807438233553,1.0637011279672666,True,uttarakhand,1.0,PureTemp 53,7.45,1522.6210612880066,0.2798786954789029,,3912.0490131307924,7.415466832420238e-10,1595.980720098652,74.72120585008038,12.221601895527176,12.263830165989898,0.0027033424523134376,1.6209973437221588,58.320876575114866,52.66743715350541,0.0,0.0,0.0,8784.0,train
c1_PureTemp_53_lhs_005,1,PureTemp 53,lhs,20262142,0.03412861197890014,10,0.03406046678413325,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c1_PureTemp_53_lhs_006,1,PureTemp 53,lhs,20262142,0.07503180156022067,23,0.04053117661026887,sim_v1_uttarakhand,1.534919023513794,True,,0.037515900780110335,0.10174019759444139,0.8982598024055586,0.0001547667370287005,1.0454796586508833e-08,59.180451588949055,0.4416350196361927,False,uttarakhand,1.0,PureTemp 53,7.45,1516.4647823271766,0.27859922882563004,,3918.9996980040837,4.0833821767767623e-08,1590.0791178764214,74.98038161566824,35.56395709874192,35.68590520232735,0.003441457327359069,4.680049089344304,59.30074730019129,52.51012167796119,0.0,0.0,0.0,8784.0,holdout
c1_PureTemp_53_lhs_007,1,PureTemp 53,lhs,20262142,0.052157667967638585,35,0.04864905035073606,sim_v1_uttarakhand,2.0375583171844482,True,,0.026078833983819293,0.05200572537724553,0.9479942746227544,9.369031509173349e-05,7.596574760456782e-09,49.3783099654702,0.6338426554938519,True,uttarakhand,1.0,PureTemp 53,7.45,1522.4071626932473,0.2797991454080483,,3912.4811677889415,2.9669055774824084e-08,1595.6995725298816,74.66088948856219,18.310796334400557,18.37314417405113,0.0032106135821229564,2.3922633673532943,58.48473608129658,52.87536442128931,0.0,0.0,0.0,8784.0,train
c1_PureTemp_53_bnd_dmin_fmin,1,PureTemp 53,boundary,0,0.02,22,0.01,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c1_PureTemp_53_bnd_dmin_fmax,1,PureTemp 53,boundary,0,0.02,22,0.05,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c1_PureTemp_53_bnd_dmax_fmin,1,PureTemp 53,boundary,0,0.08,22,0.01,sim_v1_uttarakhand,1.495408296585083,True,,0.04,0.11795633216678478,0.8820436678332152,1.6544910901276784e-05,2.7574851502127974e-10,15.568030585685188,0.39881139135955096,False,uttarakhand,1.0,PureTemp 53,7.45,1514.6027884575203,0.2782106635182955,,3921.110573654549,1.0769817835018375e-09,1588.3176101144236,75.07998145658932,40.99069946021656,41.13205650508641,0.0035116800240213232,5.4259912796721,59.64311835625943,52.4176728433453,0.0,0.0,0.0,8784.0,holdout
