draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
85,2,RT42,True,1.019665505011814,1.0164353347732176,-0.11588461033814099,1.0843601433792962,-0.026475188644703218,0.36942470582423903,uttarakhand,2,RT42,17.379424705824242,1665.1550168365832,0.35780182148605,678,2900.2357062580363,2.8969889132832177e-11,1735.854136180432,71.50467104886224,8.654995708994422,8.659629818256036,0.0036577149506286095,0.48170969465035074,70.20634068792717,70.00552481927315,630,0.0,217,8784,0.2542976681004136,0.0,1.0
86,2,RT42,True,0.9174969510963757,1.0225734346321023,-0.12924053703212135,0.8455101970172418,0.1175662699387281,-1.6178823458886051,uttarakhand,2,RT42,15.392117654111397,1649.5631361680198,0.43180410617660314,1242,2122.711777548476,2.8246111329887845e-11,1727.9448386832407,79.22114217925844,9.253319692111022,9.258379567052883,0.0003202504755868189,0.48170969465035074,73.95044265020415,73.90468462333287,3868,0.0,268,8784,0.3330180502011827,0.0,1.0
87,2,RT42,True,1.022079469114558,0.918997973701935,0.052138549957244686,1.0569172394365023,0.039064916632632785,-0.34746656079923177,uttarakhand,2,RT42,16.66253343920077,1535.0298016845136,0.33995500970122894,542,2969.2459811128256,2.833908292818589e-11,1598.1882045161271,63.97000799627895,7.659099122012755,7.663923419520963,0.0017855103939019262,0.48170969465035074,66.53971421510478,66.4980290094054,146,0.0,183,8784,0.21374800417203335,0.0,1.0
88,2,RT42,True,1.0907238301481985,1.0069479305698816,-0.06479541329103897,0.8487268164905669,0.03297299485984273,1.4005996100356595,uttarakhand,2,RT42,18.41059961003566,1564.110444456219,0.44260229077073276,1432,1907.978821701221,2.796019321589307e-11,1653.3193495055818,89.89548008161275,10.678495776708688,10.682791660411674,0.0010581336579807026,0.48170969465035074,75.64874432883126,75.61459891021798,4899,0.0,299,8784,0.37137727015510036,0.0,1.0
89,2,RT42,True,0.9526455236532687,0.9978812849436898,-0.7316692476774286,1.1314501865413593,0.12560791019817108,0.259504436465694,uttarakhand,2,RT42,17.269504436465695,1642.713068792844,0.3451190207830459,676,3096.3458182419613,2.8286608783730227e-11,1714.6068657999933,72.70459572382055,7.959341735770288,7.964028123211475,0.003349086230797551,0.48170969465035074,67.94574574825823,67.9005227142963,581,0.0,209,8784,0.2465541426610215,0.0,1.0
90,2,RT42,True,1.0786573120756116,0.9968685245596367,-0.14336548398869126,1.1854859345521809,-0.043521030492735924,-1.2170094903175546,uttarakhand,2,RT42,15.792990509682447,1695.3165626853304,0.3217532544397964,372,3511.545464043542,2.937922805854326e-11,1753.5225008927457,59.111178736162884,8.33191184074986,8.33696673332588,0.004131590689035365,0.48170969465035074,67.74208603011066,67.53066622226483,153,0.0,179,8784,0.18826354885302365,0.0,1.0
91,2,RT42,True,0.9080341625219681,1.0200684716066732,0.02636707034240321,1.0446582788080032,0.3721062719737219,-1.6234739179737563,uttarakhand,2,RT42,15.386526082026245,1715.896562324783,0.3684593838267022,773,2915.5452680466938,2.8471638503934755e-11,1781.9673814220746,66.93717801006977,8.176889344878305,8.182033032973163,0.000806234314852933,0.48170969465035074,70.64804828762259,70.60309374571987,865,0.0,223,8784,0.2621119848780781,0.0,1.0
92,2,RT42,True,0.9850176364853528,1.0019160229884034,0.3399053957794835,1.1231113061184317,0.05530924092158629,-0.8513131884104359,uttarakhand,2,RT42,16.158686811589565,1698.9377774621482,0.3479387510860735,681,3164.152897490155,2.8502493706863447e-11,1762.1343739687443,64.03307377006794,8.231119018619541,8.23607617409841,0.0014058983280340427,0.48170969465035074,68.4125073002168,68.36150489045444,640,0.0,206,8784,0.24091835710239534,0.0,1.0
93,2,RT42,True,1.025569441521457,1.0110857109830522,0.06124959716235327,0.8929042066721248,-0.09463371970845857,1.5912076523572005,uttarakhand,2,RT42,18.601207652357203,1576.8626465009745,0.4174176007899292,1190,2085.3273381963304,2.840018434978416e-11,1661.7532979386367,85.592805611897,9.627918332572897,9.632190500331609,0.002298262394841935,0.48170969465035074,73.30909354522024,73.14542634326705,1836,0.0,255,8784,0.34432458690667267,0.0,1.0
94,2,RT42,True,1.0579779166927046,1.0197964711287941,-0.7960405152549284,0.8403662833922969,0.18910602594663772,-0.3493610702445684,uttarakhand,2,RT42,16.660638929755432,1599.939589952376,0.4357606451849605,1313,2018.3121274740217,2.8079858624625452e-11,1686.4136453572748,87.25136931019613,10.254060175505911,10.258807899829131,0.0006343675872185625,0.48170969465035074,74.40579644845621,74.37504942974391,4045,0.0,281,8784,0.3466853424258122,0.0,1.0
95,2,RT42,True,0.9931518869455764,1.0257624851299312,0.3256033017320528,1.024710408946605,0.4578506395585088,0.5877690195001124,uttarakhand,2,RT42,17.597769019500113,1674.621022368022,0.3887656288585002,1037,2591.0923514563387,2.8322843347699886e-11,1750.309055611301,76.44011464551392,9.290959995474816,9.29553160552029,0.0013426536230811519,0.48170969465035074,70.99762560211056,70.95361986091763,1771,0.0,257,8784,0.3124041659201827,0.0,1.0
