case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c3_PureTemp_58_bnd_dmax_fmin,True,7.540254592895508,1809.712566144758,0.5409673753858305,1125.9984667610763,6.352399661613559e-10
c3_PureTemp_58_bnd_dmax_fmax,True,9.970942258834839,1810.1005899295722,0.5414162122316085,1124.897478349639,5.90264526089684e-08
c3_PureTemp_58_bnd_nmin,True,6.082261562347412,1815.851875518858,0.5440685506697194,1118.3913416297173,5.903602648040576e-10
c3_PureTemp_58_bnd_nmax,True,5.452239036560059,1814.5536837939128,0.543728948564866,1119.2243792590039,2.0015292834308163e-09
c3_n_Hexacosane__C26__lhs_000,True,6.320551156997681,1814.412748246719,0.5439404162607383,1118.705652945113,6.5989701290116465e-09
c3_n_Hexacosane__C26__lhs_001,True,7.453913450241089,1814.1635301074803,0.5440046599779916,1118.5480643049,2.5238074748936736e-09
c3_n_Hexacosane__C26__lhs_002,True,9.99803376197815,1812.5089758514187,0.5437862749816902,1119.083758627729,3.6949721654178806e-09
c3_n_Hexacosane__C26__lhs_003,False,3.7670135498046875e-05,,,,
c3_n_Hexacosane__C26__lhs_004,True,10.190500020980835,1813.6191242491968,0.5437778859460214,1119.1043367757607,2.333512539576182e-09
c3_n_Hexacosane__C26__lhs_005,True,8.708939552307129,1815.6601516661974,0.5440107112276142,1118.5332207024378,1.8662436856085577e-09
c3_n_Hexacosane__C26__lhs_006,False,1.8596649169921875e-05,,,,
c3_n_Hexacosane__C26__lhs_007,True,6.885738134384155,1815.8687245465046,0.5441574708403379,1118.17322210964,2.4148023891077515e-11
c3_n_Hexacosane__C26__bnd_dmin_fmin,False,1.71661376953125e-05,,,,
c3_n_Hexacosane__C26__bnd_dmin_fmax,False,5.245208740234375e-06,,,,
c3_n_Hexacosane__C26__bnd_dmax_fmin,True,6.964862823486328,1810.0965901063832,0.5424096544531787,1122.4605831088181,6.351461840298966e-10
c3_n_Hexacosane__C26__bnd_dmax_fmax,True,7.492323637008667,1810.4544965626371,0.5429566182282688,1121.1188911699435,5.9015248600247955e-08
c3_n_Hexacosane__C26__bnd_nmin,True,8.195231437683105,1815.8563902912397,0.5441440972518063,1118.206027272877,5.903727183482998e-10
c3_n_Hexacosane__C26__bnd_nmax,True,7.99513578414917,1814.5748367615997,0.5439598480916474,1118.6579870263158,2.001233786215141e-09
c4_baseline_noPCM,True,5.605000019073486,1622.354931808939,0.5106186961464176,1309.6596129557981,2.73143953476567e-09
c4_n_Octacosane__C28__lhs_000,False,1.52587890625e-05,,,,
c4_n_Octacosane__C28__lhs_001,True,5.948824167251587,1620.577287485483,0.5089569605898363,1314.1066728020367,6.971974335577747e-10
c4_n_Octacosane__C28__lhs_002,False,2.002716064453125e-05,,,,
c4_n_Octacosane__C28__lhs_003,True,8.60105562210083,1614.0623296096617,0.5031844394296257,1329.5548269692063,5.137793162587567e-08
c4_n_Octacosane__C28__lhs_004,True,9.671746015548706,1620.6906600028813,0.5090728972867848,1313.7964083753875,6.891698383560533e-11
c4_n_Octacosane__C28__lhs_005,False,2.7179718017578125e-05,,,,
c4_n_Octacosane__C28__lhs_006,True,6.542659521102905,1618.7548638395765,0.507335698654533,1318.4454190147949,6.058930269594389e-09
c4_n_Octacosane__C28__lhs_007,True,5.86234974861145,1618.5748505138433,0.5071468388900805,1318.950836782225,4.267874482718217e-10
c4_n_Octacosane__C28__bnd_dmin_fmin,False,2.288818359375e-05,,,,
c4_n_Octacosane__C28__bnd_dmin_fmax,False,7.152557373046875e-06,,,,
c4_n_Octacosane__C28__bnd_dmax_fmin,True,7.330143451690674,1614.0345114903323,0.5032811767323573,1329.2959430734459,6.340207984523843e-10
c4_n_Octacosane__C28__bnd_dmax_fmax,True,8.095501899719238,1614.1407530323277,0.5032938805732101,1329.2619456420703,5.891565741162181e-08
c4_n_Octacosane__C28__bnd_nmin,True,8.122490406036377,1621.4164762124078,0.5097405306694176,1312.0097187928266,5.891273639240788e-10
c4_n_Octacosane__C28__bnd_nmax,True,8.000268459320068,1619.519235727723,0.5079736173310256,1316.73825055459,1.9971812529715995e-09
c4_RT64HC_lhs_000,True,9.110142707824707,1618.1116493255997,0.5067043029921751,1320.1351308862418,6.643873724773864e-09
c4_RT64HC_lhs_001,True,8.010996103286743,1611.9477446718693,0.5012149916982916,1334.8253719067532,5.85498398469371e-08
c4_RT64HC_lhs_002,False,3.504753112792969e-05,,,,
c4_RT64HC_lhs_003,True,7.55616569519043,1620.946144270336,0.5092816052374975,1313.2378738098066,8.545814323980221e-10
c4_RT64HC_lhs_004,True,8.223447322845459,1620.9598475590751,0.5093009301928361,1313.186157258051,4.681409180220023e-10
c4_RT64HC_lhs_005,True,8.834931135177612,1618.4778702833933,0.507018799827988,1319.2934889987741,2.7688717330184436e-10
c4_RT64HC_lhs_006,True,7.997492790222168,1621.6213709928631,0.5099204564240265,1311.528209809369,1.2784256350042711e-10
c4_RT64HC_lhs_007,False,5.1021575927734375e-05,,,,
c4_RT64HC_bnd_dmin_fmin,False,1.239776611328125e-05,,,,
c4_RT64HC_bnd_dmin_fmax,False,1.2159347534179688e-05,,,,
c4_RT64HC_bnd_dmax_fmin,True,6.143332004547119,1613.7707327546868,0.5029199240349871,1330.2627108352947,6.340609907944383e-10
c4_RT64HC_bnd_dmax_fmax,True,9.80184268951416,1613.8663860174242,0.5029264846258391,1330.2451536854642,5.891690230147964e-08
c4_RT64HC_bnd_nmin,True,8.0808687210083,1621.379007490722,0.5096952262529043,1312.1309603771062,5.89139817468321e-10
c4_RT64HC_bnd_nmax,True,7.031292676925659,1619.405284857723,0.5078356621072238,1317.1074399445133,1.9971812529715995e-09
c4_n_Hexacosane__C26__lhs_000,True,5.036993741989136,1621.069960139496,0.5095883858142377,1312.416881818016,1.4580547806724763e-09
c4_n_Hexacosane__C26__lhs_001,False,1.8835067749023438e-05,,,,
c4_n_Hexacosane__C26__lhs_002,False,5.7220458984375e-06,,,,
c4_n_Hexacosane__C26__lhs_003,True,7.5559163093566895,1621.0226815030235,0.509550442607738,1312.5184236724913,6.726426848295012e-10
c4_n_Hexacosane__C26__lhs_004,True,6.736127138137817,1613.0049347269583,0.5031077559998354,1329.7600436176324,2.5378886945040223e-08
c4_n_Hexacosane__C26__lhs_005,True,7.08172345161438,1618.405286349184,0.5074220258718114,1318.214394108289,3.108008745780772e-10
c4_n_Hexacosane__C26__lhs_006,False,1.8835067749023438e-05,,,,
c4_n_Hexacosane__C26__lhs_007,True,6.097414970397949,1618.4152576442739,0.5074485144170877,1318.1435066884362,9.551440655230994e-09
c4_n_Hexacosane__C26__bnd_dmin_fmin,False,1.7404556274414062e-05,,,,
c4_n_Hexacosane__C26__bnd_dmin_fmax,False,4.5299530029296875e-06,,,,
c4_n_Hexacosane__C26__bnd_dmax_fmin,True,6.931117057800293,1614.132931697563,0.5040021595562346,1327.3664821834782,6.340609907944383e-10
c4_n_Hexacosane__C26__bnd_dmax_fmax,True,8.63991093635559,1614.3030249236995,0.504133189819918,1327.0158250515653,5.891690230147964e-08
c4_n_Hexacosane__C26__bnd_nmin,True,1.7119016647338867,1621.4676642465981,0.5099105351031408,1311.5547607894919,5.89139817468321e-10
c4_n_Hexacosane__C26__bnd_nmax,True,2.211171865463257,1619.6744406471003,0.5084702893740225,1315.409079802714,1.9971812529715995e-09
