case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_n_Hexacosane__C26__radial_lhs_000,0,n-Hexacosane (C26),radial,lhs,20261106,0.03370815666312617,28,0.02378226401434472,sim_v2_tamilnadu,2.6702880859375e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__radial_lhs_001,0,n-Hexacosane (C26),radial,lhs,20261106,0.07095375376328829,33,0.042271525362139704,sim_v2_tamilnadu,5.769241094589233,True,,0.035476876881644144,0.1234436308847598,0.5584138282759341,0.006568901028341225,4.627957773681862e-07,58.36694806838713,0.05981702599489326,False,tamilnadu,0.0,n-Hexacosane (C26),28.463,1750.6752346261317,0.5642439480445092,,920.0241284012594,1.7887699567185713e-06,1840.1728589301363,89.64039084229847,100.56424945287159,100.62809122691392,0.00014754726199572775,4.752579789063253,70.13154912109277,69.59754040555548,694.0,0.0,128.0,8784.0,train
c0_n_Hexacosane__C26__radial_lhs_002,0,n-Hexacosane (C26),radial,lhs,20261106,0.06362737873071647,18,0.01291421505534248,sim_v2_tamilnadu,4.247195243835449,True,,0.031813689365358236,0.04855491729960784,0.5645443623587023,0.000792640951085343,1.7060559506645533e-08,15.990267729694528,0.05499293896489042,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1753.5573304553377,0.5618656423403056,,925.0455127808049,6.600777863564662e-08,1842.6185951591074,89.16618058333677,40.341380075042814,40.36641610907624,5.072277637004067e-05,1.869364316034902,71.22209988622227,71.09506607394408,1396.0,0.0,139.0,8784.0,holdout
c0_n_Hexacosane__C26__radial_lhs_003,0,n-Hexacosane (C26),radial,lhs,20261106,0.04061159608194914,12,0.03473886589064513,sim_v2_tamilnadu,5.472763299942017,True,,0.02030579804097457,0.008417052544092002,0.596248419643953,0.0015692307791498263,9.08554959805973e-08,27.454237309259863,0.03998267112948869,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1756.3341133611789,0.5603363317966767,,928.2743895655171,3.517382195150696e-07,1845.0493372130263,88.80259180419966,8.366719291511867,8.37106057047005,4.223027929405087e-05,0.3240565229475421,72.0311784951939,72.00317076483921,11679.0,0.0,198.0,8784.0,train
c0_n_Hexacosane__C26__radial_bnd_dmin_fmin,0,n-Hexacosane (C26),radial,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,1.8835067749023438e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__radial_bnd_dmin_fmax,0,n-Hexacosane (C26),radial,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,5.245208740234375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_n_Hexacosane__C26__radial_bnd_dmax_fmin,0,n-Hexacosane (C26),radial,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,4.100799560546875e-05,False,passage_blocked,0.04,0.11795633216678478,0.5522808318482232,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__radial_bnd_dmax_fmax,0,n-Hexacosane (C26),radial,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,1.6450881958007812e-05,False,passage_blocked,0.04,0.11795633216678478,0.5522808318482232,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_PureTemp_58_single-layer_lhs_000,0,PureTemp 58,single-layer,lhs,20261622,0.04786249774876975,26,0.04152821688180506,sim_v2_tamilnadu,8.811207294464111,True,,0.023931248874384876,0.029853004246157992,0.5636935350428502,0.0024693486848908377,1.709127462382447e-07,38.679631871152,0.04122451032156064,True,tamilnadu,0.0,PureTemp 58,28.463,1755.2574969924565,0.5607810965753686,,927.3353450565007,6.614916726465878e-07,1844.171563345771,89.0171614815452,27.47389480473346,27.495243514297012,4.715851245014816e-05,1.3284586889540306,71.56984193833968,71.49553655511929,3919.0,0.0,144.0,8784.0,train
c0_PureTemp_58_single-layer_lhs_001,0,PureTemp 58,single-layer,lhs,20261622,0.034833030840173876,9,0.035709792966863475,sim_v2_tamilnadu,3.0279159545898438e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_PureTemp_58_single-layer_lhs_002,0,PureTemp 58,single-layer,lhs,20261622,0.07979213833912115,16,0.02322678894028274,sim_v2_tamilnadu,13.324569940567017,True,,0.03989606916956057,0.08511947025771725,0.5312819966729878,0.0020803181568772133,8.053185126404173e-08,36.06558379767443,0.06029514018338182,True,tamilnadu,0.0,PureTemp 58,28.463,1750.9012532468923,0.5605802795943855,,927.7593356518531,3.117153077859391e-07,1839.9475253628248,89.18457660494087,59.382657424240044,59.443470143812114,5.447200287559826e-05,3.7878164264684178,71.61848289839523,65.26945678100303,11.0,0.0,46.0,8784.0,train
c0_PureTemp_58_single-layer_lhs_003,0,PureTemp 58,single-layer,lhs,20261622,0.05200127266686172,36,0.017927119316103673,sim_v2_tamilnadu,12.144821166992188,True,,0.02600063633343086,0.05301185928421795,0.5574907799727319,0.0015091923221432469,4.5092451383349264e-08,18.141290204361933,0.04367551943412918,True,tamilnadu,0.0,PureTemp 58,28.463,1753.4594942363221,0.5614063761352246,,926.0151745632118,1.744927560361644e-07,1842.6018107127168,89.25951605300853,46.39820971590583,46.436106508289164,4.5659702286906056e-05,2.3590277381476987,71.01834604073112,70.90180065758939,1520.0,0.0,131.0,8784.0,train
c0_PureTemp_58_single-layer_bnd_dmin_fmin,0,PureTemp 58,single-layer,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,3.0517578125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_PureTemp_58_single-layer_bnd_dmin_fmax,0,PureTemp 58,single-layer,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,1.239776611328125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_PureTemp_58_single-layer_bnd_dmax_fmin,0,PureTemp 58,single-layer,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,12.06583023071289,True,,0.04,0.11795633216678478,0.5311495834876816,0.0006539006374645021,1.0898343957741703e-08,15.568030585685188,0.060420075973773614,False,tamilnadu,0.0,PureTemp 58,28.463,1748.645791218603,0.5600400630805192,,928.8999101202683,4.218355394742074e-08,1837.7835885743857,89.2979898012129,79.18666224411375,79.2709765124647,6.981375808923836e-05,5.249056781421923,71.9218109924793,64.70708384592018,0.0,0.0,34.0,8784.0,train
c0_PureTemp_58_single-layer_bnd_dmax_fmax,0,PureTemp 58,single-layer,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,12.176328659057617,True,,0.04,0.11795633216678478,0.5311495834876816,0.006921160236182528,5.767633530152108e-07,77.84015292842594,0.060420075973773614,False,tamilnadu,0.0,PureTemp 58,28.463,1749.3824229395063,0.5609408644491574,,926.998022607003,2.2322343882180464e-06,1838.5948245460256,89.37303792090917,83.85522179116909,83.93958288692174,7.534333982578321e-05,5.249056781421923,71.66350512411886,65.40461058923027,10.0,0.0,46.0,8784.0,holdout
c0_PureTemp_58_staggered_lhs_000,0,PureTemp 58,staggered,lhs,20261623,0.07517358563513327,8,0.021347196338595283,sim_v2_tamilnadu,12.007262468338013,True,,0.03758679281756663,0.035588886675624064,0.46236975745507425,0.001794491792179949,6.38456143594385e-08,31.22840473568493,0.043100244748899584,True,tamilnadu,0.0,PureTemp 58,28.463,1753.5350606550767,0.5605406588404545,,927.842988074897,2.471579008660769e-07,1842.4293157695638,88.99921115189152,25.934830613734327,25.960229301020366,3.557736547557588e-05,1.5837054570652709,71.42625155686984,67.48037197445403,91.0,0.0,65.0,8784.0,train
