draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
12,0,RT57HC,True,1.0504365512131673,0.9688473128986976,-0.4326813312610365,1.1253630150837233,-0.08602037238041638,-1.4240229791090315,tamilnadu,0,RT57HC,radial,27.038977020890968,1764.5282976121432,0.5116741730789993,3980,1260.1796554949626,2.0111208506857264e-07,1840.2850143537128,75.94472034252598,13.629945084599306,13.639093577544394,0.0003419668504732267,0.7004494786278685,69.15265080970842,69.01994490962514,1272,0.0,123,8784,0.09874140954275076,0.0,1.0
13,0,RT57HC,True,0.9058205572802017,0.9949228666297627,-0.8783494145332325,0.9866621382032511,0.39945807488591545,-1.357916332333855,tamilnadu,0,RT57HC,radial,27.105083667666147,1758.8807182482199,0.5891973020888621,4398,926.0415766910362,1.9399068318005617e-07,1848.723722984079,90.00639833308209,14.673105655892268,14.682127955297391,1.8400144695924296e-05,0.7004494786278685,74.04318253207232,74.03220608221405,21132,0.0,210,8784,0.19730087376827787,0.0,1.0
14,0,RT57HC,True,0.9600854441850354,0.9819377390755454,-0.595835493669134,0.819119279647695,0.13766575158358685,-4.68362436354397e-05,tamilnadu,0,RT57HC,radial,28.462953163756367,1654.8101630924295,0.661031440576037,4653,586.2239878713775,1.8885858307648806e-07,1758.8122913551729,104.05117935682684,17.582258207074993,17.590510126783812,7.345782453423567e-07,0.7004494786278685,77.78308765155364,77.76595463689472,44994,0.0,264,8784,0.28974942689571326,0.0,1.0
15,0,RT57HC,True,1.054544912688406,1.0069462396999966,-0.1912082716192015,0.9280007133658924,0.3945622880493379,1.4211356708649712,tamilnadu,0,RT57HC,radial,29.88413567086497,1711.989717128768,0.6367472189857479,4700,650.56292050604,1.9055720089223093e-07,1815.2378974932794,103.24711340498213,18.602192152680587,18.610101196375787,3.733779313929191e-05,0.7004494786278685,77.90833881118358,77.88680315639836,42152,0.0,264,8784,0.28600464089778643,0.0,1.0
16,0,RT57HC,True,0.9999334194716939,1.0478589660400999,0.7286041641653112,1.0825650839859864,-0.25762723119552977,0.7684833525142887,tamilnadu,0,RT57HC,radial,29.23148335251429,1863.8885725787936,0.5521421869962585,4693,976.0769902449862,1.9907019009594802e-07,1952.3856095027222,88.55336598110648,17.71202685903685,17.720300607879178,0.00021037430877355622,0.7004494786278685,73.93019288412259,73.90720893473632,12496,0.0,214,8784,0.23419805916541536,0.0,1.0
17,0,RT57HC,True,0.962391242107807,1.052384143691725,0.7724242168364179,1.07588985125486,-0.233560278086539,-1.8991864108155978,tamilnadu,0,RT57HC,radial,26.563813589184402,1928.8111540666926,0.5373923979996784,4384,1171.5227594178427,2.0287964260318974e-07,2006.2242351918944,77.61295355697105,16.250015676380016,16.25928609748405,7.412698672559548e-06,0.7004494786278685,73.39689985051183,73.34909869372096,8105,0.0,183,8784,0.18116177700564295,0.0,1.0
18,0,RT57HC,True,0.9016644983749538,0.9791223534568159,-0.7525469274056013,1.19255344409748,-0.13280534217037387,1.8151090614510377,tamilnadu,0,RT57HC,radial,30.27810906145104,1714.3802024408442,0.5165359383990233,4333,1083.6891038397112,1.975144267492575e-07,1803.4192165173074,89.13994340228982,13.776599568637918,13.784559947716922,0.005270410609738516,0.7004494786278685,70.63161763132433,70.56274592788326,4216,0.0,161,8784,0.13756180934955028,0.0,1.0
19,0,RT57HC,True,0.9409482268032529,0.9739091194200259,0.24153327867420618,0.8534586446740223,0.26513593816431036,-1.3252223663272353,tamilnadu,0,RT57HC,radial,27.137777633672766,1699.753863732617,0.636724865106207,4554,707.0542048506503,1.9243065552081245e-07,1791.3362147496052,91.71378942879586,16.517507320940123,16.526316258869272,3.373524300948897e-09,0.7004494786278685,76.20201895339179,76.19519220412627,35151,0.0,241,8784,0.2523321081534493,0.0,1.0
20,0,RT57HC,True,1.024264590201542,0.9968187722482867,-0.16899666037335148,0.9569788295839298,0.4056138502095382,-0.188112438474481,tamilnadu,0,RT57HC,radial,28.27488756152552,1740.6287093531214,0.6109456778808879,4555,795.0248145391881,1.9253690797416834e-07,1834.2575062176886,93.72053438679099,17.106514586298914,17.115053644544556,1.2500114982934295e-05,0.7004494786278685,76.0940359993184,76.08188350431166,30242,0.0,233,8784,0.23760364820494398,0.0,1.0
21,0,RT57HC,True,1.0254757476798455,0.9680043726609896,-0.8083826650880969,0.8858816187200232,-0.3351919786375058,0.4391805260014592,tamilnadu,0,RT57HC,radial,28.90218052600146,1637.391424829611,0.5947771794984968,4741,737.7949898533664,1.9547430857347257e-07,1735.5367866236295,98.19853109820009,16.568598027373778,16.576874848213805,2.3834092310796467e-05,0.7004494786278685,73.1263227955943,73.03553140580217,11603,0.0,204,8784,0.23925584623718804,0.0,1.0
